Table: Enthalpy [G]
Pressure {Pa} 	 Temperature {K} 	 Specific Enthalpy {J/Kg}
1000000 	 298 	 7.582382e+05
1000000 	 299 	 7.587941e+05
1000000 	 300 	 7.597203e+05
1000000 	 301 	 7.605716e+05
1000000 	 302 	 7.607137e+05
1000000 	 303 	 7.615160e+05
1000000 	 304 	 7.624276e+05
1000000 	 305 	 7.612144e+05
1000000 	 306 	 7.617493e+05
1000000 	 307 	 7.621778e+05
1000000 	 308 	 7.663638e+05
1000000 	 309 	 7.472973e+05
1000000 	 310 	 7.349153e+05
1000000 	 311 	 7.669978e+05
1000000 	 312 	 7.851575e+05
1000000 	 313 	 7.867422e+05
1000000 	 314 	 7.931635e+05
1000000 	 315 	 7.990330e+05
1000000 	 316 	 8.032222e+05
1000000 	 317 	 8.069843e+05
1000000 	 318 	 8.105578e+05
1000000 	 319 	 8.137901e+05
1000000 	 320 	 8.168923e+05
1000000 	 321 	 8.196819e+05
1000000 	 322 	 8.222790e+05
1000000 	 323 	 8.247952e+05
1000000 	 324 	 8.271455e+05
1000000 	 325 	 8.294152e+05
1000000 	 326 	 8.315159e+05
1000000 	 327 	 8.334527e+05
1000000 	 328 	 8.355183e+05
1000000 	 329 	 8.374435e+05
1000000 	 330 	 8.397826e+05
1000000 	 331 	 8.424593e+05
1000000 	 332 	 8.455234e+05
1000000 	 333 	 8.485928e+05
1000000 	 334 	 8.500588e+05
1000000 	 335 	 8.546429e+05
1000000 	 336 	 8.580969e+05
1000000 	 337 	 8.603987e+05
1000000 	 338 	 8.633471e+05
1000000 	 339 	 8.643759e+05
1000000 	 340 	 8.679206e+05
1200000 	 2.402270e+02 	 6.984854e+05
1200000 	 241 	 6.993699e+05
1200000 	 242 	 7.005008e+05
1200000 	 243 	 7.016157e+05
1200000 	 244 	 7.027369e+05
1200000 	 245 	 7.038282e+05
1200000 	 246 	 7.049417e+05
1200000 	 247 	 7.060247e+05
1200000 	 248 	 7.071029e+05
1200000 	 249 	 7.081572e+05
1200000 	 250 	 7.092484e+05
1200000 	 251 	 7.102935e+05
1200000 	 252 	 7.113503e+05
1200000 	 253 	 7.123772e+05
1200000 	 254 	 7.134585e+05
1200000 	 255 	 7.144989e+05
1200000 	 256 	 7.154989e+05
