Table: Enthalpy [G]
Temperature {K} 	 Pressure {Pa} 	 Specific Enthalpy {J/Kg}
287 	 3200000 	 7.173782e+05
287 	 3400000 	 7.136773e+05
287 	 3600000 	 7.097192e+05
287 	 3800000 	 7.054471e+05
287 	 4000000 	 7.007787e+05
287 	 4200000 	 6.955933e+05
288 	 200000 	 7.582145e+05
288 	 400000 	 7.561067e+05
288 	 600000 	 7.539467e+05
288 	 800000 	 7.517331e+05
288 	 1000000 	 7.494624e+05
288 	 1200000 	 7.471282e+05
288 	 1400000 	 7.447271e+05
288 	 1600000 	 7.422533e+05
288 	 1800000 	 7.397004e+05
288 	 2000000 	 7.370611e+05
288 	 2200000 	 7.343269e+05
288 	 2400000 	 7.314889e+05
288 	 2600000 	 7.285331e+05
288 	 2800000 	 7.254403e+05
288 	 3000000 	 7.221981e+05
288 	 3200000 	 7.187831e+05
288 	 3400000 	 7.151647e+05
288 	 3600000 	 7.113047e+05
288 	 3800000 	 7.071551e+05
288 	 4000000 	 7.026471e+05
288 	 4200000 	 6.976775e+05
288 	 4400000 	 6.920768e+05
289 	 200000 	 7.589921e+05
289 	 400000 	 7.568993e+05
289 	 600000 	 7.547569e+05
289 	 800000 	 7.525617e+05
289 	 1000000 	 7.503094e+05
289 	 1200000 	 7.479969e+05
289 	 1400000 	 7.456197e+05
289 	 1600000 	 7.431719e+05
289 	 1800000 	 7.406475e+05
289 	 2000000 	 7.380395e+05
289 	 2200000 	 7.353393e+05
289 	 2400000 	 7.325378e+05
289 	 2600000 	 7.296231e+05
289 	 2800000 	 7.265823e+05
289 	 3000000 	 7.233990e+05
289 	 3200000 	 7.200505e+05
289 	 3400000 	 7.165106e+05
289 	 3600000 	 7.127461e+05
289 	 3800000 	 7.087157e+05
289 	 4000000 	 7.043553e+05
289 	 4200000 	 6.995752e+05
289 	 4400000 	 6.942396e+05
289 	 4600000 	 6.881970e+05
290 	 200000 	 7.599077e+05
290 	 400000 	 7.578302e+05
290 	 600000 	 7.557031e+05
290 	 800000 	 7.535256e+05
290 	 1000000 	 7.512950e+05
290 	 1200000 	 7.490049e+05
290 	 1400000 	 7.466515e+05
290 	 1600000 	 7.442293e+05
290 	 1800000 	 7.417334e+05
290 	 2000000 	 7.391561e+05
290 	 2200000 	 7.364895e+05
290 	 2400000 	 7.337257e+05
290 	 2600000 	 7.308548e+05
290 	 2800000 	 7.278636e+05
290 	 3000000 	 7.247317e+05
290 	 3200000 	 7.214438e+05
290 	 3400000 	 7.179780e+05
290 	 3600000 	 7.143032e+05
290 	 3800000 	 7.103794e+05
290 	 4000000 	 7.061506e+05
290 	 4200000 	 7.015435e+05
290 	 4400000 	 6.964409e+05
290 	 4600000 	 6.906518e+05
291 	 200000 	 7.607585e+05
291 	 400000 	 7.586955e+05
291 	 600000 	 7.565867e+05
291 	 800000 	 7.544293e+05
291 	 1000000 	 7.522172e+05
291 	 1200000 	 7.499474e+05
291 	 1400000 	 7.476162e+05
291 	 1600000 	 7.452181e+05
291 	 1800000 	 7.427486e+05
291 	 2000000 	 7.402006e+05
291 	 2200000 	 7.375674e+05
291 	 2400000 	 7.348404e+05
291 	 2600000 	 7.320094e+05
291 	 2800000 	 7.290634e+05
291 	 3000000 	 7.259857e+05
291 	 3200000 	 7.227606e+05
291 	 3400000 	 7.193686e+05
291 	 3600000 	 7.157772e+05
291 	 3800000 	 7.119537e+05
291 	 4000000 	 7.078499e+05
291 	 4200000 	 7.033995e+05
